Date,Close Price
16-Feb-2018,1050.2
19-Feb-2018,1056.2
20-Feb-2018,1045.8
21-Feb-2018,1055.05
22-Feb-2018,1072.5
23-Feb-2018,1080.85
26-Feb-2018,1105.15
27-Feb-2018,1093.05
28-Feb-2018,1090.55
01-Mar-2018,1095.7
05-Mar-2018,1100.0
06-Mar-2018,1082.45
07-Mar-2018,1085.1
08-Mar-2018,1082.3
09-Mar-2018,1082.45
12-Mar-2018,1100.6
13-Mar-2018,1083.9
14-Mar-2018,1081.75
15-Mar-2018,1085.65
16-Mar-2018,1060.75
19-Mar-2018,1049.0
20-Mar-2018,1045.3
21-Mar-2018,1051.1
22-Mar-2018,1053.05
23-Mar-2018,1038.8
26-Mar-2018,1039.35
27-Mar-2018,1049.85
28-Mar-2018,1047.8
